era,years,even,buy_only,blend25,rank100
1973-1982 stagflation,9.916666666666666,0.09551272517940168,0.09589726290788914,0.09295494352578293,0.08179692204817846
1983-1992,9.916666666666666,0.18514940062574914,0.1883787459992422,0.21070367466375928,0.2084523330937691
1993-2002 dot-com,9.916666666666666,0.12406027915714801,0.12700326476419832,0.1480717392344305,0.1344266090553352
2000-2009 lost decade,9.916666666666666,0.07928461948051135,0.08601515028986528,0.08778018637892115,0.08537531749476934
2003-2012 GFC,9.916666666666666,0.11661899262879505,0.12146393774832365,0.13007343507682778,0.12721827550361808
2013-2022,9.916666666666666,0.13207093009092963,0.13263930943046542,0.14547481965256293,0.12977335005769608
2016-2026 original,10.5,0.12961998329160984,0.132997377681766,0.15268415859153595,0.15492101570072703
