era,test,real_median_edge,real_win,fake_median_edge,fake_win
1993-2002 dot-com,buy_only,0.0736825354832662,73.0,0.07301438793293324,64.0
1993-2002 dot-com,rank,0.12960228007629881,74.0,-0.03576183294199309,42.0
2003-2012 GFC,buy_only,0.04533204638030519,67.0,0.16476398528504865,71.0
2003-2012 GFC,rank,0.06372619450915962,70.0,-0.11409540377325589,37.0
2016-2026 original,buy_only,-0.005317404505624346,48.0,0.15426985978342822,68.0
2016-2026 original,rank,0.07550277997830013,59.0,-0.2080938292685336,34.0
