era,skill_0,skill_25,skill_50,skill_75,skill_100
1973-1982 stagflation,0.059762979566788776,0.10406959508146163,0.10406959508146163,0.10406959508146163,0.10406959508146163
1983-1992,0.13591349320311796,0.17237783966483167,0.19750724574295353,0.23403516121543955,0.24668703433654526
1993-2002 dot-com,0.07985354905284936,0.12502998299900103,0.16093685183663375,0.20019757169351393,0.22517675026447437
2000-2009 lost decade,0.04378549068066162,0.07693168243092552,0.1126338457045718,0.13658439194829275,0.16942875352527642
2003-2012 GFC,0.07435307683683945,0.10092648252263747,0.13945631531402158,0.17827641914008963,0.19708370304362854
2013-2022,0.09235500885693215,0.11749279606739327,0.154282231687895,0.1906619451876138,0.21264520575877677
2016-2026 original,0.08477620470086522,0.12879351583174203,0.172814327883425,0.2156182674008631,0.2517930167887875
