window_days,n,corr_trailing_forward_er,chop_stay_rate,autocorr_chop,autocorr_trend
20,67636,-0.006145928723922718,0.4966954978931027,0.0031218473747880887,-0.05910792941028338
40,67044,-0.004442241772451303,0.4978074100590657,0.01131052468592156,-0.07512094344334803
60,66452,-0.008254461127154548,0.49358916478555304,0.009060263881473792,-0.07867473146499554
120,64676,-0.029384477103567876,0.4822339734669264,0.0043177186318051185,-0.08508455021914675
