pool,ranked_mult,random_mult,mean_edge,median_edge,t,win_pct
20,2.6585212478086793,2.564552159754261,0.09396908805441878,-0.009609948962923776,2.833733825552707,48.0
30,2.858567798524687,2.747290014908815,0.1112777836158722,0.022672947184064096,2.950919170613077,52.5
40,3.2142514816234296,2.917042472381063,0.29720900924236654,0.12101687273558492,6.398369019966868,62.5
50,3.1884833516027578,2.871298066160343,0.31718528544241537,0.1427727364214315,7.064516157955178,65.0
65,3.282567715952008,2.847956251999747,0.4346114639522615,0.3368004729379408,8.485317728881604,63.0
80,3.3414977140282183,2.7532773080080513,0.5882204060201669,0.6058591387364504,11.42985007616275,71.0
100,3.440405050105758,2.755597703246169,0.6848073468595881,0.8406075430719584,15.620200264846583,83.5
148,3.5657367777185893,2.7909544160859023,0.7747823616326864,0.8872005556280727,28.170938638226016,94.5
