window,hold_cagr_aftertax,protocol_cagr_aftertax,edge,mdd_diff
full,0.16659799705017986,0.2457268071752936,0.07912881012511375,-0.0019233793348892303
H1 2019-11~2023-03,0.09833957872834875,0.08531844527307086,-0.013021133455277889,-0.0019233793348892303
H2 2023-03~2026-07,0.2179146891078012,0.3912134915092591,0.1732988024014579,0.10912314886277785
T1 2019-11~2022-02,0.15933287990629963,0.1225748122614363,-0.036758067644863335,-0.06149903923793809
T2 2022-02~2024-05,0.07648319386382041,0.20620114371435205,0.12971794985053164,0.006893283069650369
T3 2024-05~2026-07,0.2054564038133111,0.36704644796172525,0.16159004414841416,0.11701780321493618
