seed,book,pool,open_slots,ranked_mult,random_mult,edge,se,t,win_pct
3,10,20,7,2.8889200255491807,2.7405082221955905,0.14841180335359033,0.05441838099674486,2.727236654880781,51.0
3,10,50,7,3.2748436417821223,2.968587814451366,0.3062558273307556,0.0607644421310705,5.040050012639855,67.0
3,10,148,7,3.7695340978340317,3.0132533644514052,0.7562807333826264,0.040965321372187814,18.461486644068675,95.0
3,20,20,17,2.8259538202103403,2.717192285604566,0.10876153460577413,0.027641314917132932,3.934745323507038,56.99999999999999
3,20,50,17,3.1622376731500337,2.94053819808355,0.22169947506648424,0.044229456612037074,5.012484711515732,67.0
3,20,148,17,3.8312835521202926,3.002232381546279,0.8290511705740131,0.03553030822656864,23.33363294479022,99.0
5,10,20,5,2.6837928030809213,2.5537601555065548,0.13003264757436644,0.0512952618603094,2.5349836000151402,49.0
5,10,50,5,3.3347231595806397,2.950041231198377,0.3846819283822627,0.06354127632026883,6.054047867142923,70.0
5,10,148,5,3.5364542997777426,2.7615830661434733,0.7748712336342689,0.04106521340583944,18.869285445478358,93.0
5,20,20,15,2.635862009054991,2.57477646363583,0.061085545419160406,0.027565862785131113,2.2159852530394817,40.0
5,20,50,15,3.241601973290364,2.93764991931055,0.30395205397981473,0.04471221632732818,6.797964380800304,72.0
5,20,148,15,3.3943290279867036,2.773318349533718,0.6210106784529854,0.035614685926889544,17.436926994886523,93.0
10,10,20,0,2.7955600551421673,2.76738004099463,0.02818001414753735,0.017796803092927877,1.5834312488817484,42.0
10,10,50,0,2.9045546901226533,2.9030472011646515,0.0015074889580017259,0.015052088080940242,0.10015148395992905,38.0
10,10,148,0,2.8688698966619466,2.8402123857810846,0.028657510880861964,0.015275932956414892,1.8759908781105041,49.0
10,20,20,10,2.815212925534247,2.759342866936783,0.05587005859746412,0.025779604327893106,2.167219398980986,44.0
10,20,50,10,3.0677475758881574,2.849510187455098,0.21823738843305937,0.04822253936513779,4.5256303650992065,65.0
10,20,148,10,3.375269991215262,2.8510982060241616,0.5241717851911005,0.03371025514181234,15.549327140539697,92.0
