era,eligible,quality_irr,random_irr,placebo_irr,mean_edge,median_edge,placebo_median_edge,win_pct
2012-2016,127,0.16344885269753784,0.17071816208283175,0.1643033567883614,-0.011404977454251787,-0.009159303288319931,0.0023905058850269834,43.5
2017-2021,149,0.22376284893703102,0.20055197308563288,0.2055804433520243,0.03161874442401061,0.029666013584738193,0.018790989287014614,63.5
2022-2026,171,0.1412723842755792,0.14038604671930288,0.14144482988350504,-0.013084974325896509,0.005189413750971261,0.008712352316507799,53.0
2012-2019 (long),127,0.17394768751631384,0.16671983722774364,0.16159554514997032,0.0014431794374507878,0.007276755470444818,0.011129113303231741,56.49999999999999
2019-2026 (long),152,0.16489044265198272,0.17186834671007967,0.16704194908047953,0.004091724379219285,-0.006220604000083396,0.006495499646763769,48.0
